addition	जोड
choose	रोज्नु
circular	गोलाकार
clothes	 लुगा
coat	 कोट
coefficient	 गुणांक
collect	संकलन गर्नु
comb	कोर्नु
come	आउनु
command	आज्ञा गर्नु
compare	तुलना गर्नु
compass	 कम्पास
cook	 पकाउनु
cry	रुनु
cube	घनाकार
cupboard	दराज
curly brackets	 मझौला कोष्ठ
currency	 मुद्रा
curtain	 पर्दा
cut	काट्नु
dance	नाच्नु
daura	दौरा
denominator	 हर
descending order	घट्दो क्रम
Devanagari	देवनागरि
dig	खन्नु
dividend	 भाज्य
division	 भाग
divisor	भाजक
do	गर्नु
door	ढोका
dream	 सपना देख्नु
drink	पिउनु
ear hoop	  टप
earn	 कमाउनु
eat	 खानु
equal	बराबर
escape	  भाग्नु
even	जोर
exponent	घातांक
factor	गुणन खण्ड
factorization	खण्डीकरण
fan	 पंखा
fight	भैm झगडा
filter	छान्नु
finish	सिद्धिनु
fire	 आगो
firewood	दाउरा
foot	फूट
forget	बिर्सनु
forgive	माफ गर्नु
formula	सूत्र
fraction	भिन्न
fridge	फ्रिज
gas stove	ग्यास चुलो
geometric shape	ज्यामितीय आकार
get	पाउनु
give	दिनु
glass	गिलास
glasses	 चश्मा
gloves	पन्जा
go	 जानु
greater than	भन्दा ठूलो
grind	पिस्नु
grow up	उम्रनु
half	 आधा
hate	घृणा गर्नु
hearth	चुलेसो
heavy	गह्रौ
height	 उचाइ
help	मद्दत गर्नु
hesitate	अलमलिनु
home items	घरेलु सामान
hope	आशा गर्नु
help	मद्दत गर्नु
hurry	हतार गर्नु
imagine	कल्पना गर्नु
inch	इन्च
jacket	ज्याकेट
keep	 राख्नु
keep	 राख्नु
key	साँचो
kilometer	किलोमिटर
kitchen	भान्सा
kneel	घुँडा टेक्नु
know	थाहा छ
latchkey	साँचो
laugh	  हाँस्नु
learn	 सिक्नु
leave	 छोड्नु
length	लम्वाइ
less than	भन्दा सानो
light	हलुका
line segment	रेखाखण्ड
listen	सुन्नु
liter	लिटर
lock	 ताल्चा
look	 हेर्नु
lose	हराउनु
mask	मास्क
mat	चकटी
match	मिल्नु
matchstick	सलाई
measure	 नाप्नु
measurement	 नाप्नु
meet	भेट्नु
mensuration	छेत्रमिति
milliliter	मिलिलिटर
moneybag	थैली
move	  सर्नु
multiplication	गुणन खण्ड
necklace	माला
nepali cap	नेपाली टोपी
number	संख्या
numerator	अंश
obtuse angle	अधिक कोण
odd	बिजोर
one-third	 तिहाई
order	आदेश
paisa	 पैसा
pants	पाइन्ट
parentheses	सानो कोष्ठ
part	आधा
pay	तिर्नु
pee	पिसाब गर्नु
pillow	 सिरानी
place value	स्थानमान
plate	 थाल
poop	 दिसा गर्नु
pouch	थैली
pressure cooker	प्रेसरकुकर
price	मूल्य
product	गुणनफल
protractor	 प्रोट्याक्टर
purse	पर्स
push	धक्का दिनु
quadrilateral	चतुर्भुज
quarter	चौथाई, चौथो
quotient	भागफल
rate	दर
reach	पुग्नु
read	 पढ्नु
rectangle	आयाताकार
remain	पर्खनु 
remainder	 शेष
remember	 सम्झनु
rented room	डेरा
request	 अनुरोध गर्नु
restroom	शौचालय, चर्पी 
return	 फर्कनु
ribbon	 रिबन
rice cooker	राइसकुकर
right angle	 समकोण
ring	औंठी
roam	डुल्नु 
roof	छाना
rupees	रुपियाँ
sandals	 चप्पल
sari	 सारी
say	 भन्नु
scrub	माझ्नु
select	छान्नु
sell	बेच्नु
sew	 सिउनु
shirt	 कमिज, शर्ट
shoes	 जुत्ता
show	देखाउनु
side	 भुजा 
simple	सरल
sit	 बस्नु
skirt	फ्रक
sleep	सुत्नु
slice	काट्नु
slip	चिप्लनु
smell	सुँघ्नु
snatch	खोस्नु
soap	साबुन
socks	 मोजा
sofa	सोफा
solution	हल
speak	af]Ng'
spend	खर्च गर्नु
spit	थुक्नु
spoon	चम्चा
square brackets	ठूलो कोष्ठ
square	वर्ग
stand	उभिनु
steal	 चोर्नु
stink	गन्हाउनु
stove	 चुलो
straight line	समरेखा
style	ढाँचा
subtraction	घटाउ
sum	 जोडफल
sweater	स्वेटर
take	 लिनु
talk	कुरा गर्नु
tap	धारा
teach	सिकाउनुु
tear	च्यात्नु
term	पद
thermos	थर्मस
think	 विचार गर्नु
throw	फाल्नु
tie	टाई
tika	टिका
to light	बाल्नु 
toilet	चर्पी, शौचालय
torchlight	टर्चलाइट 
